"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2020","484.67","481.71","487.70","480.71","2.25M","0.60%"
"Nov 18, 2020","481.79","482.00","488.54","477.73","3.63M","0.24%"
"Nov 17, 2020","480.63","480.96","487.50","479.30","3.70M","0.32%"
"Nov 16, 2020","479.10","481.78","485.54","477.50","3.95M","-0.77%"
"Nov 13, 2020","482.84","486.77","488.94","477.80","3.01M","-0.81%"
"Nov 12, 2020","486.77","490.76","496.35","480.53","5.07M","-0.81%"
"Nov 11, 2020","490.76","482.98","491.55","478.39","5.46M","2.19%"
"Nov 10, 2020","480.24","470.12","484.37","463.57","8.31M","2.07%"
"Nov 09, 2020","470.50","485.85","495.79","468.00","10.42M","-8.59%"
"Nov 06, 2020","514.73","515.00","515.21","502.51","4.24M","0.19%"
"Nov 05, 2020","513.76","506.01","518.70","504.02","5.37M","3.38%"
"Nov 04, 2020","496.95","495.36","507.73","493.98","5.14M","2.00%"
"Nov 03, 2020","487.22","484.93","495.30","478.76","3.69M","0.64%"
"Nov 02, 2020","484.12","478.87","486.30","475.00","4.41M","1.76%"
"Oct 30, 2020","475.74","502.01","505.88","472.21","7.81M","-5.65%"
"Oct 29, 2020","504.21","488.50","513.90","479.34","11.12M","3.70%"
"Oct 28, 2020","486.24","486.90","494.00","483.36","5.99M","-0.55%"
"Oct 27, 2020","488.93","490.01","490.01","482.98","3.63M","0.14%"
"Oct 26, 2020","488.24","487.00","496.68","478.97","6.19M","-0.01%"
"Oct 23, 2020","488.28","488.11","490.06","481.35","4.93M","0.63%"
"Oct 22, 2020","485.23","493.90","493.90","482.00","7.00M","-0.78%"
"Oct 21, 2020","489.05","500.01","506.84","488.36","17.41M","-6.92%"
"Oct 20, 2020","525.42","528.15","533.52","522.40","10.05M","-1.00%"
"Oct 19, 2020","530.72","537.07","541.73","526.51","7.57M","-0.01%"
"Oct 16, 2020","530.79","549.50","554.33","530.03","6.35M","-2.06%"
"Oct 15, 2020","541.94","546.35","550.99","535.10","5.11M","0.09%"
"Oct 14, 2020","541.45","562.78","572.11","541.00","9.51M","-2.28%"
"Oct 13, 2020","554.09","539.20","557.56","537.20","5.60M","2.65%"
"Oct 12, 2020","539.81","548.81","551.69","538.45","5.39M","0.07%"
"Oct 09, 2020","539.44","537.83","544.28","535.00","4.78M","1.44%"
"Oct 08, 2020","531.79","533.50","534.84","524.52","5.39M","-0.54%"
"Oct 07, 2020","534.66","517.68","536.47","515.95","7.99M","5.69%"
"Oct 06, 2020","505.87","519.78","521.12","504.26","4.20M","-2.84%"
"Oct 05, 2020","520.65","506.80","520.99","501.70","4.09M","3.50%"
"Oct 02, 2020","503.06","516.43","526.37","502.70","6.07M","-4.63%"
"Oct 01, 2020","527.51","505.60","529.55","503.84","8.15M","5.50%"
"Sep 30, 2020","500.03","492.57","504.63","489.55","4.63M","1.33%"
"Sep 29, 2020","493.48","489.51","496.20","486.60","3.54M","0.58%"
"Sep 28, 2020","490.65","489.83","492.00","478.01","4.77M","1.61%"
"Sep 25, 2020","482.88","474.39","484.87","468.03","3.77M","2.07%"
"Sep 24, 2020","473.08","470.53","476.90","467.82","3.73M","0.52%"
"Sep 23, 2020","470.61","490.58","490.69","469.06","3.73M","-4.19%"
"Sep 22, 2020","491.17","490.00","491.82","479.43","3.48M","0.78%"
"Sep 21, 2020","487.35","467.82","487.69","466.91","5.46M","3.70%"
"Sep 18, 2020","469.96","472.51","479.40","458.60","6.72M","-0.05%"
"Sep 17, 2020","470.20","475.00","478.34","463.45","5.38M","-2.82%"
"Sep 16, 2020","483.86","499.39","504.45","483.49","4.40M","-2.45%"
"Sep 15, 2020","495.99","484.73","497.45","481.78","5.34M","4.14%"
"Sep 14, 2020","476.26","480.18","488.65","471.42","7.36M","-1.20%"
"Sep 11, 2020","482.03","486.48","493.73","476.81","5.04M","0.28%"
"Sep 10, 2020","480.67","504.35","506.22","479.17","6.24M","-3.90%"
"Sep 09, 2020","500.19","519.55","519.55","492.65","6.85M","-1.35%"
"Sep 08, 2020","507.02","498.39","521.72","495.33","5.57M","-1.75%"
"Sep 04, 2020","516.05","520.18","527.36","485.98","8.27M","-1.84%"
"Sep 03, 2020","525.75","543.52","553.59","521.72","9.07M","-4.90%"
"Sep 02, 2020","552.84","553.79","556.50","538.10","5.89M","-0.67%"
"Sep 01, 2020","556.55","532.60","557.39","532.45","9.51M","5.10%"
"Aug 31, 2020","529.56","521.16","531.86","517.66","4.94M","1.08%"
"Aug 28, 2020","523.89","532.00","539.00","522.00","4.42M","-0.45%"
"Aug 27, 2020","526.27","537.55","540.48","521.50","9.06M","-3.88%"
"Aug 26, 2020","547.53","492.51","548.78","492.51","20.37M","11.61%"
"Aug 25, 2020","490.58","488.33","492.40","485.09","5.73M","0.36%"
"Aug 24, 2020","488.81","494.73","501.00","483.23","4.76M","-0.71%"
"Aug 21, 2020","492.31","496.46","498.13","490.00","3.92M","-1.12%"
"Aug 20, 2020","497.90","484.69","498.91","484.08","5.13M","2.76%"
"Aug 19, 2020","484.53","493.76","494.32","483.67","3.16M","-1.49%"
"Aug 18, 2020","491.87","484.01","495.25","482.81","3.51M","1.97%"
"Aug 17, 2020","482.35","483.97","486.09","479.15","2.42M","-0.07%"
"Aug 14, 2020","482.68","482.82","488.33","480.21","2.94M","0.28%"
"Aug 13, 2020","481.33","478.40","484.41","476.75","3.01M","1.23%"
"Aug 12, 2020","475.47","471.17","482.30","470.49","5.44M","1.83%"
"Aug 11, 2020","466.93","478.74","480.83","466.63","7.33M","-3.40%"
"Aug 10, 2020","483.38","493.68","497.09","478.67","4.69M","-2.29%"
"Aug 07, 2020","494.73","505.45","508.29","486.68","5.91M","-2.82%"
"Aug 06, 2020","509.08","503.33","510.74","498.89","3.73M","1.39%"
"Aug 05, 2020","502.11","508.04","510.00","501.23","4.31M","-1.48%"
"Aug 04, 2020","509.64","500.78","510.25","499.09","5.61M","2.21%"
"Aug 03, 2020","498.62","490.86","503.08","490.47","5.88M","1.99%"
"Jul 31, 2020","488.88","488.29","494.80","484.50","5.92M","0.63%"
"Jul 30, 2020","485.80","481.27","488.25","477.56","6.61M","0.27%"
"Jul 29, 2020","484.48","492.25","494.92","484.13","6.61M","-0.82%"
"Jul 28, 2020","488.51","496.49","497.20","487.87","5.99M","-1.44%"
"Jul 27, 2020","495.65","483.57","496.87","482.58","7.86M","3.16%"
"Jul 24, 2020","480.45","468.77","487.17","467.54","7.75M","0.60%"
"Jul 23, 2020","477.58","490.24","490.91","472.13","7.72M","-2.50%"
"Jul 22, 2020","489.82","492.19","497.05","487.30","6.95M","-0.06%"
"Jul 21, 2020","490.10","505.96","505.96","488.61","9.13M","-2.45%"
"Jul 20, 2020","502.41","489.14","504.50","484.20","11.94M","1.91%"
"Jul 17, 2020","492.99","494.87","503.59","484.14","24.99M","-6.52%"
"Jul 16, 2020","527.39","526.49","535.39","504.50","24.50M","0.79%"
"Jul 15, 2020","523.26","516.30","528.96","510.55","10.07M","-0.31%"
"Jul 14, 2020","524.88","511.66","525.46","492.26","15.08M","-0.12%"
"Jul 13, 2020","525.50","567.92","575.17","521.68","18.40M","-4.23%"
"Jul 10, 2020","548.73","519.73","555.88","511.28","21.61M","8.07%"
"Jul 09, 2020","507.76","508.60","509.79","495.84","5.84M","0.99%"
"Jul 08, 2020","502.78","498.38","504.99","493.82","5.69M","1.95%"
"Jul 07, 2020","493.16","497.31","504.82","490.83","5.67M","-0.13%"
"Jul 06, 2020","493.81","482.50","499.35","479.80","7.84M","3.55%"
"Jul 02, 2020","476.89","485.64","492.28","475.53","6.35M","-1.80%"
"Jul 01, 2020","485.64","454.00","488.23","454.00","9.71M","6.72%"
"Jun 30, 2020","455.04","449.40","457.47","447.35","4.20M","1.74%"
"Jun 29, 2020","447.24","445.36","447.54","432.14","4.84M","0.87%"
"Jun 26, 2020","443.40","466.48","467.89","442.32","6.80M","-4.83%"
"Jun 25, 2020","465.91","458.89","466.85","454.00","4.13M","1.76%"
"Jun 24, 2020","457.85","467.84","472.28","454.01","4.83M","-1.80%"
"Jun 23, 2020","466.26","466.50","474.01","464.56","5.95M","-0.38%"
"Jun 22, 2020","468.04","455.08","468.50","454.87","6.27M","3.16%"
"Jun 19, 2020","453.72","450.74","453.95","445.72","5.93M","0.86%"
"Jun 18, 2020","449.87","448.72","452.60","442.80","4.28M","0.47%"
"Jun 17, 2020","447.77","441.52","450.40","439.47","6.53M","2.67%"
"Jun 16, 2020","436.13","426.00","437.63","425.56","5.51M","2.50%"
"Jun 15, 2020","425.50","421.28","426.46","415.51","4.47M","1.78%"
"Jun 12, 2020","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"Jun 11, 2020","425.56","427.20","445.48","424.26","7.46M","-2.05%"
"Jun 10, 2020","434.48","436.00","439.44","430.70","4.90M","0.10%"
"Jun 09, 2020","434.05","421.31","434.73","420.79","6.80M","3.47%"
"Jun 08, 2020","419.49","416.33","420.74","406.63","5.85M","-0.03%"
"Jun 05, 2020","419.60","407.29","420.24","404.25","5.10M","1.27%"
"Jun 04, 2020","414.33","421.98","428.57","410.16","5.41M","-1.81%"
"Jun 03, 2020","421.97","426.71","426.77","418.23","4.32M","-1.25%"
"Jun 02, 2020","427.31","425.77","427.51","419.52","3.49M","0.33%"
"Jun 01, 2020","425.92","418.82","426.67","416.50","3.75M","1.47%"
"May 29, 2020","419.73","417.46","420.30","411.85","5.27M","1.52%"
"May 28, 2020","413.44","416.67","422.30","411.65","5.66M","-1.54%"
"May 27, 2020","419.89","409.23","420.01","397.93","10.45M","1.23%"
"May 26, 2020","414.77","427.73","427.79","413.14","7.88M","-3.39%"
"May 22, 2020","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"May 21, 2020","436.25","448.55","448.55","430.25","9.12M","-2.55%"
"May 20, 2020","447.67","454.25","455.74","444.09","5.61M","-0.75%"
"May 19, 2020","451.04","453.39","458.76","450.51","4.81M","-0.34%"
"May 18, 2020","452.58","451.64","456.29","443.40","7.78M","-0.35%"
"May 15, 2020","454.19","440.89","455.00","437.56","7.24M","2.77%"
"May 14, 2020","441.95","444.73","452.03","432.89","9.01M","0.84%"
"May 13, 2020","438.27","435.46","446.95","427.49","7.01M","1.49%"
"May 12, 2020","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"May 11, 2020","440.52","436.33","444.89","435.56","5.49M","1.14%"
"May 08, 2020","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"May 07, 2020","436.53","436.89","438.88","430.66","5.65M","0.52%"
"May 06, 2020","434.26","429.30","439.77","426.39","6.66M","2.26%"
"May 05, 2020","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"May 04, 2020","428.15","417.78","428.54","414.87","7.80M","3.10%"
"May 01, 2020","415.27","415.10","427.97","411.73","8.30M","-1.09%"
"Apr 30, 2020","419.85","410.31","424.44","408.00","7.95M","1.93%"
"Apr 29, 2020","411.89","399.53","415.86","393.60","9.69M","2.00%"
"Apr 28, 2020","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"Apr 27, 2020","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"Apr 24, 2020","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"Apr 23, 2020","426.70","419.26","438.41","419.26","13.95M","1.25%"
"Apr 22, 2020","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"Apr 21, 2020","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"Apr 20, 2020","437.49","435.17","444.49","430.56","12.66M","3.44%"
"Apr 17, 2020","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"Apr 16, 2020","439.17","437.00","449.52","431.61","16.13M","2.91%"
"Apr 15, 2020","426.75","413.00","434.98","412.25","13.56M","3.19%"
"Apr 14, 2020","413.55","397.50","417.82","394.85","11.58M","4.24%"
"Apr 13, 2020","396.72","371.31","400.51","367.70","11.69M","7.01%"
"Apr 09, 2020","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"Apr 08, 2020","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"Apr 07, 2020","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"Apr 06, 2020","379.96","365.22","380.29","361.71","8.18M","5.03%"
"Apr 03, 2020","361.76","367.47","370.90","357.51","4.86M","-2.25%"
"Apr 02, 2020","370.08","364.08","370.99","360.06","4.59M","1.65%"
"Apr 01, 2020","364.08","376.05","380.23","361.02","6.67M","-3.04%"
"Mar 31, 2020","375.50","367.93","383.01","366.44","9.37M","1.22%"
"Mar 30, 2020","370.96","363.00","377.80","361.17","8.62M","3.88%"
"Mar 27, 2020","357.12","359.38","368.45","353.20","7.95M","-1.62%"
"Mar 26, 2020","362.99","342.29","363.78","342.29","7.24M","6.02%"
"Mar 25, 2020","342.39","360.98","361.78","339.28","8.77M","-4.18%"
"Mar 24, 2020","357.32","369.91","372.05","353.21","11.64M","-0.82%"
"Mar 23, 2020","360.27","347.89","366.11","340.88","13.45M","8.24%"
"Mar 20, 2020","332.83","342.31","350.49","332.00","10.85M","0.24%"
"Mar 19, 2020","332.03","324.06","348.38","316.87","10.62M","5.25%"
"Mar 18, 2020","315.47","300.77","331.50","300.03","12.59M","-1.34%"
"Mar 17, 2020","319.75","306.19","322.90","290.25","10.01M","7.00%"
"Mar 16, 2020","298.84","306.63","334.35","294.75","10.56M","-11.14%"
"Mar 13, 2020","336.30","330.51","336.42","307.39","9.46M","6.68%"
"Mar 12, 2020","315.25","326.50","335.72","307.32","12.07M","-9.91%"
"Mar 11, 2020","349.92","358.92","362.98","344.79","6.06M","-3.90%"
"Mar 10, 2020","364.13","356.43","364.54","347.85","7.60M","5.09%"
"Mar 09, 2020","346.49","343.86","357.47","341.72","7.41M","-6.09%"
"Mar 06, 2020","368.97","367.70","371.31","356.85","8.15M","-1.02%"
"Mar 05, 2020","372.78","381.00","391.40","368.64","8.75M","-2.87%"
"Mar 04, 2020","383.79","377.77","384.01","370.51","5.49M","4.07%"
"Mar 03, 2020","368.77","381.03","393.52","367.40","8.36M","-3.22%"
"Mar 02, 2020","381.05","373.11","381.36","364.50","7.00M","3.26%"
"Feb 28, 2020","369.03","364.21","376.77","356.80","11.18M","-0.72%"
"Feb 27, 2020","371.71","371.46","391.56","370.60","10.97M","-1.99%"
"Feb 26, 2020","379.24","366.31","382.00","365.00","8.96M","5.32%"
"Feb 25, 2020","360.09","372.00","375.65","357.72","6.48M","-2.34%"
"Feb 24, 2020","368.70","364.76","372.82","361.00","6.94M","-2.99%"
"Feb 21, 2020","380.07","385.33","387.32","377.90","3.94M","-1.54%"
"Feb 20, 2020","386.00","386.56","389.70","376.68","4.08M","-0.05%"
"Feb 19, 2020","386.19","388.12","392.95","384.90","4.90M","-0.41%"
"Feb 18, 2020","387.78","379.30","389.54","379.19","5.18M","1.94%"
"Feb 14, 2020","380.40","381.47","385.15","379.43","3.74M","-0.26%"
"Feb 13, 2020","381.40","376.96","385.37","376.51","4.49M","0.37%"
"Feb 12, 2020","380.01","377.18","380.62","375.88","4.62M","1.69%"
"Feb 11, 2020","373.69","373.75","378.11","369.72","4.77M","0.71%"
"Feb 10, 2020","371.07","365.00","374.80","362.52","5.29M","1.17%"
"Feb 07, 2020","366.77","365.04","371.80","363.57","4.39M","-0.05%"
"Feb 06, 2020","366.95","369.60","371.55","362.50","3.92M","-0.74%"
"Feb 05, 2020","369.67","375.12","375.25","362.30","6.44M","0.18%"
"Feb 04, 2020","369.01","361.00","369.57","356.10","7.16M","3.08%"
"Feb 03, 2020","358.00","347.24","359.63","346.28","6.67M","3.74%"
"Jan 31, 2020","345.09","347.39","347.39","340.98","5.23M","-0.76%"
"Jan 30, 2020","347.74","341.10","348.20","339.25","5.33M","1.33%"
"Jan 29, 2020","343.16","349.00","349.40","338.55","7.65M","-1.54%"
"Jan 28, 2020","348.52","345.88","352.40","342.78","6.82M","1.64%"
"Jan 27, 2020","342.88","345.95","351.90","341.02","7.71M","-2.91%"
"Jan 24, 2020","353.16","348.46","359.85","345.88","17.94M","1.02%"
"Jan 23, 2020","349.60","326.04","349.88","325.01","18.20M","7.24%"
"Jan 22, 2020","326.00","332.55","336.30","323.60","21.73M","-3.58%"
"Jan 21, 2020","338.11","340.00","341.00","332.59","14.35M","-0.46%"
"Jan 17, 2020","339.67","341.00","341.57","337.38","6.07M","0.31%"
"Jan 16, 2020","338.62","343.50","343.56","335.85","5.02M","-0.13%"
"Jan 15, 2020","339.07","338.68","343.17","336.60","5.16M","0.11%"
"Jan 14, 2020","338.69","344.40","345.38","335.52","7.20M","-0.07%"
"Jan 13, 2020","338.92","331.80","340.85","331.51","6.30M","3.00%"
"Jan 10, 2020","329.05","337.13","338.50","327.27","4.72M","-1.97%"
"Jan 09, 2020","335.66","342.00","343.42","334.61","4.72M","-1.06%"
"Jan 08, 2020","339.26","331.49","342.70","331.05","7.11M","2.57%"
"Jan 07, 2020","330.75","336.47","336.70","330.30","4.74M","-1.51%"
"Jan 06, 2020","335.83","323.12","336.36","321.20","5.67M","3.05%"
"Jan 03, 2020","325.90","326.78","329.86","325.53","3.80M","-1.19%"
"Jan 02, 2020","329.81","326.10","329.98","324.78","4.35M","1.93%"
"Dec 31, 2019","323.57","322.00","324.92","321.09","3.71M","0.08%"
"Dec 30, 2019","323.31","329.08","329.19","322.86","4.32M","-1.76%"
"Dec 27, 2019","329.09","332.96","333.82","326.01","5.04M","-1.06%"
"Dec 26, 2019","332.63","334.60","336.46","332.01","3.60M","-0.17%"
"Dec 24, 2019","333.20","334.01","335.70","331.60","2.02M","0.03%"
"Dec 23, 2019","333.10","337.76","337.95","331.02","5.77M","-1.13%"
"Dec 20, 2019","336.90","335.00","338.00","330.60","9.92M","1.41%"
"Dec 19, 2019","332.22","324.50","332.83","324.18","9.83M","3.56%"
"Dec 18, 2019","320.80","316.26","325.36","315.60","11.21M","1.69%"
"Dec 17, 2019","315.48","307.36","316.80","306.60","10.44M","3.70%"
"Dec 16, 2019","304.21","300.85","305.71","298.63","4.66M","1.91%"
"Dec 13, 2019","298.50","298.50","301.80","297.25","3.88M","0.02%"
"Dec 12, 2019","298.44","295.67","299.17","295.06","4.77M","-0.16%"
"Dec 11, 2019","298.93","294.49","299.43","294.20","5.61M","1.98%"
"Dec 10, 2019","293.12","296.12","298.94","292.02","10.48M","-3.10%"
"Dec 09, 2019","302.50","307.35","311.49","302.44","5.77M","-1.58%"
"Dec 06, 2019","307.35","304.70","307.85","302.60","4.46M","1.48%"
"Dec 05, 2019","302.86","305.27","306.48","298.81","4.62M","-0.48%"
"Dec 04, 2019","304.32","308.43","308.43","303.27","3.51M","-0.60%"
"Dec 03, 2019","306.16","302.22","307.36","301.88","5.27M","-1.24%"
"Dec 02, 2019","309.99","314.39","314.39","303.75","6.22M","-1.48%"
"Nov 29, 2019","314.66","315.78","316.62","313.34","2.41M","-0.40%"
"Nov 27, 2019","315.93","313.93","316.82","312.75","4.10M","1.10%"
"Nov 26, 2019","312.49","315.00","316.50","311.69","5.33M","-0.97%"
"Nov 25, 2019","315.55","308.83","315.73","305.25","7.88M","1.63%"
"Nov 22, 2019","310.48","309.10","311.40","304.41","5.97M","-0.39%"
"Nov 21, 2019","311.69","306.00","312.69","304.26","7.49M","2.14%"
"Nov 20, 2019","305.16","301.01","308.25","301.00","5.12M","0.85%"
"Nov 19, 2019","302.60","304.01","305.67","298.52","5.92M","0.01%"
"Nov 18, 2019","302.57","296.00","304.99","293.28","8.62M","2.56%"
"Nov 15, 2019","295.03","290.59","295.82","287.57","6.34M","1.87%"
"Nov 14, 2019","289.62","283.25","290.63","283.22","6.54M","2.30%"
"Nov 13, 2019","283.11","291.03","293.41","281.14","9.23M","-3.05%"
"Nov 12, 2019","292.01","295.32","295.35","288.70","5.77M","-0.74%"
"Nov 11, 2019","294.18","289.16","296.36","288.50","3.95M","0.90%"
"Nov 08, 2019","291.57","288.73","293.99","287.50","4.51M","0.69%"
"Nov 07, 2019","289.57","290.70","298.19","288.27","5.93M","0.34%"
"Nov 06, 2019","288.59","288.19","290.56","285.84","3.44M","0.19%"
"Nov 05, 2019","288.03","289.99","291.19","286.31","4.06M","-1.65%"
"Nov 04, 2019","292.86","288.00","295.39","287.16","5.57M","2.11%"
"Nov 01, 2019","286.81","288.70","289.12","283.02","5.59M","-0.21%"
"Oct 31, 2019","287.41","291.00","291.45","284.78","5.09M","-1.39%"
"Oct 30, 2019","291.45","284.34","293.49","283.00","9.35M","3.64%"
"Oct 29, 2019","281.21","281.87","284.41","277.55","4.36M","-0.23%"
"Oct 28, 2019","281.86","278.05","285.75","277.35","6.25M","1.82%"
"Oct 25, 2019","276.82","270.68","277.77","270.18","4.75M","1.96%"
"Oct 24, 2019","271.50","271.81","274.02","268.80","4.91M","0.08%"
"Oct 23, 2019","271.27","268.06","273.92","266.63","7.15M","1.72%"
"Oct 22, 2019","266.69","271.16","275.41","265.80","11.87M","-4.09%"
"Oct 21, 2019","278.05","272.89","279.94","269.00","12.63M","1.00%"